rc_short,rc_long,prefix,name,city,country,region_continent,website,link
syd,route-collector.syd.pch.net, 45.127.172.0/22, Equinix Sydney,Sydney,AU,Australia,https://ix.equinix.com,https://www.peeringdb.com/ix/94
szg,route-collector.szg.pch.net, 185.1.43.0/24, SAIX,Salzburg,AT,Europe,https://www.saix.at/,https://www.peeringdb.com/ix/1073
teraco-dur,route-collector.teraco-dur.pch.net, 196.10.141.0/24, NAPAfrica IX Durban,Durban,ZA,Africa,http://www.napafrica.net/napafrica-traffic/durban-internet-exchange/,https://www.peeringdb.com/ix/969
tmp,route-collector.tmp.pch.net, 195.140.192.0/24, TREX,Tampere,FI,Europe,http://www.trex.fi/,https://www.peeringdb.com/ix/328
tnr,route-collector.tnr.pch.net, 196.223.41.0/24, MGIX,Antananarivo,MG,Africa,http://www.mgix.mg,https://www.peeringdb.com/ix/1335
trn,route-collector.trn.pch.net, 194.116.96.0/24, TOP-IX,Turin,IT,Europe,http://www.top-ix.org,https://www.peeringdb.com/ix/115
vie,route-collector.vie.pch.net, 193.203.0.0/23, VIX,Vienna,AT,Europe,http://www.vix.at,https://www.peeringdb.com/ix/50
vli,route-collector.vli.pch.net, 103.25.228.0/24, VIX.VU,Port Vila,VU,Asia Pacific,http://vix.vu,https://www.peeringdb.com/ix/971
waw,route-collector.waw.pch.net, 195.182.218.0/23, PLIX,Warsaw,PL,Europe,http://www.plix.pl/,https://www.peeringdb.com/ix/264
wlg,route-collector.wlg.pch.net, 202.7.0.0/23, WIX-NZ,Wellington,NZ,Australia,http://wix.nzix.net/,https://www.peeringdb.com/ix/348
wpgix,route-collector.wpgix.pch.net, 206.126.109.0/24, WPGIX,Winnipeg,CA,North America,http://wpgix.net/,https://www.peeringdb.com/ix/776
yul,route-collector.yul.pch.net, 198.179.18.0/24, QIX,Montreal,CA,North America,http://www.qix.ca,https://www.peeringdb.com/ix/355
ywg,route-collector.ywg.pch.net, 206.72.208.0/24, MBIX,Winnipeg/Manitoba,CA,North America,http://www.mbix.ca,https://www.peeringdb.com/ix/703
yyc,route-collector.yyc.pch.net, 206.126.225.0/24, YYCIX,Calgary,CA,North America,http://yycix.ca,https://www.peeringdb.com/ix/639
yyz,route-collector.yyz.pch.net, 206.108.34.0/23, TorIX,Toronto,CA,North America,http://www.torix.ca/,https://www.peeringdb.com/ix/24
zrh,route-collector.zrh.pch.net, 91.206.52.0/23, SwissIX,Zurich,CH,Europe,https://www.swissix.ch/,https://www.peeringdb.com/ix/60
